Player,Tm,FantPos,G,PPR,storage
Jake Kumerow,GNB,WR,14,39.9,39.9
Jakeem Grant,MIA,WR,10,45.9,45.9
Jakob Johnson,NWE,RB,4,1.5,1.5
Jakobi Meyers,NWE,WR,15,61.9,61.9
Jaleel Scott,BAL,WR,3,1.6,1.6
Jalen Guyton,LAC,N/A,3,0.0,0.0
Jalen Richard,OAK,RB,16,82.8,82.8
Jamaal Williams,GNB,RB,14,146.3,146.3
Jamal Agnew,DET,WR,13,11.7,11.7
Jameis Winston,TAM,QB,16,305.4,305.4
James Conner,PIT,RB,10,145.5,145.5
James Develin,NWE,TE,2,0.3,0.3
James O'Shaughnessy,JAX,TE,5,41.3,41.3
James Washington,PIT,WR,15,133.5,133.5
James White,NWE,RB,15,200.2,200.2
Jamison Crowder,NYJ,WR,16,197.7,197.7
Jamize Olawale,DAL,N/A,16,0.0,0.0
Jared Cook*,NOR,TE,14,167.5,167.5
Jared Goff,LAR,QB,16,247.5,247.5
Jarius Wright,CAR,WR,16,56.9,56.9
Jaron Brown,SEA,WR,14,48.0,48.0
Jarrett Stidham,NWE,QB,3,-1.6,-1.6
Jarvis Landry*,CLE,WR,16,237.4,237.4
Jason Moore,LAC,WR,10,6.3,6.3
Jason Vander Laan,NOR,N/A,2,0.0,0.0
Jason Witten,DAL,TE,16,139.9,139.9
Javon Wims,CHI,WR,16,42.6,42.6
Javorius Allen,NYG,RB,10,11.5,11.5
Jay Ajayi,PHI,RB,3,3.0,3.0
Jaydon Mickens,TAM,N/A,1,0.0,0.0
Jaylen Samuels,PIT,RB,14,104.4,104.4
Jeff Driskel,DET,QB,3,58.1,58.1
Jeff Heuerman,DEN,TE,14,31.4,31.4
Jeff Smith,NYJ,WR,1,2.2,2.2
Jeff Wilson,SFO,RB,10,46.9,46.9
Jerell Adams,HOU,N/A,1,0.0,0.0
Jeremy McNichols,JAX,N/A,1,0.0,0.0
Jeremy Sprinkle,WAS,TE,16,56.1,56.1
Jerome Cunningham,WAS,N/A,2,0.0,0.0
Jesper Horsted,CHI,TE,6,20.7,20.7
Jesse James,DET,TE,16,30.2,30.2
Jester Weah,WAS,N/A,1,0.0,0.0
Jimmy Garoppolo,SFO,QB,16,247.3,247.3
Jimmy Graham,GNB,TE,16,100.7,100.7
Joe Flacco,DEN,QB,8,84.9,84.9
Joe Mixon,CIN,RB,16,225.4,225.4
John Brown,BUF,WR,15,219.8,219.8
John Kelly,LAR,RB,4,0.9,0.9
John Ross,CIN,WR,8,95.0,95.0
John Ursua,SEA,WR,3,2.1,2.1
Johnny Holton,PIT,WR,16,6.0,6.0
Johnny Mundt,LAR,TE,13,6.6,6.6
Jojo Natson,LAR,N/A,12,0.0,0.0
Jon Hilliman,NYG,RB,3,8.2,8.2
Jonathan Williams,IND,RB,9,40.4,40.4
Jonnu Smith,TEN,TE,16,104.7,104.7
Jordan Akins,HOU,TE,16,89.8,89.8
Jordan Chunn,DAL,N/A,1,0.0,0.0
Jordan Howard,PHI,RB,10,111.4,111.4
Jordan Matthews,2TM,WR,3,7.3,7.3
Jordan Scarlett,CAR,RB,9,0.9,0.9
Jordan Thomas,HOU,TE,5,1.8,1.8
Jordan Wilkins,IND,RB,14,54.0,54.0
Josh Adams,NYJ,RB,3,1.2,1.2
Josh Allen,BUF,QB,16,288.6,288.6
Josh Bellamy,NYJ,WR,7,4.0,4.0
Josh Doctson,MIN,N/A,1,0.0,0.0
Josh Ferguson,WAS,RB,2,0.9,0.9
Josh Gordon,2TM,WR,11,73.7,73.7
Josh Hill,NOR,TE,16,65.6,65.6
Josh Jacobs,OAK,RB,13,191.6,191.6
Josh Malone,NYJ,N/A,2,0.0,0.0
Josh McCown,PHI,QB,3,0.8,0.8
Josh Oliver,JAX,TE,4,4.5,4.5
Josh Reynolds,LAR,WR,16,61.9,61.9
Josh Rosen,MIA,QB,6,18.0,18.0
Joshua Perkins,PHI,TE,5,23.7,23.7
JuJu Smith-Schuster,PIT,WR,12,113.2,113.2
Julian Edelman,NWE,WR,16,256.3,256.3
Julio Jones*,ATL,WR,15,274.1,274.1
Justice Hill,BAL,RB,16,49.5,49.5
Justin Hardee,NOR,N/A,16,0.0,0.0
Justin Hardy,ATL,WR,16,38.5,38.5
Justin Jackson,LAC,RB,7,31.2,31.2
Justin Watson,TAM,WR,16,42.9,42.9
Juwann Winfree,DEN,N/A,3,0.0,0.0
Kaden Smith,NYG,TE,9,75.8,75.8
Kalen Ballage,MIA,RB,12,51.8,51.8
Kalif Raymond,TEN,WR,8,29.5,29.5
Kareem Hunt,CLE,RB,8,101.4,101.4
KeeSean Johnson,ARI,WR,10,46.0,46.0
Keelan Cole,JAX,WR,16,78.7,78.7
Keelan Doss,OAK,WR,8,24.3,24.3
Keenan Allen*,LAC,WR,16,261.5,261.5
Keith Kirkwood,NOR,N/A,1,0.0,0.0
Keith Smith,ATL,RB,16,3.1,3.1
Keke Coutee,HOU,WR,9,52.8,52.8
Kelvin Harmon,WAS,WR,16,66.9,66.9
Kendall Blanton,LAR,N/A,1,0.0,0.0
Kendrick Bourne,SFO,WR,16,97.8,97.8
Kenjon Barner,ATL,RB,14,15.1,15.1
Kenny Golladay*,DET,WR,16,248.0,248.0
Kenny Stills,HOU,WR,13,120.1,120.1
Kenyan Drake,2TM,RB,14,214.2,214.2
Kerrith Whyte Jr,PIT,RB,6,14.1,14.1
Kerryon Johnson,DET,RB,8,85.0,85.0
KhaDarel Hodge,CLE,WR,16,11.6,11.6
Khari Blasingame,TEN,RB,6,9.4,9.4
Kirk Cousins*,MIN,QB,15,244.4,244.4
Krishawn Hogan,NOR,WR,8,1.4,1.4
Kyle Allen,CAR,QB,13,177.5,177.5
Kyle Juszczyk*,SFO,RB,12,50.6,50.6
